Hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
00:00-00:59,149,154,148,159,182,278,294
01:00-01:59,100,99,126,120,123,185,223
02:00-02:59,70,76,61,86,100,132,120
03:00-03:59,80,53,51,54,67,108,95
04:00-04:59,56,55,74,59,55,63,59
05:00-05:59,72,71,75,65,91,65,56
06:00-06:59,125,115,135,141,105,84,64
07:00-07:59,214,206,199,203,236,131,107
08:00-08:59,368,367,393,364,382,239,135
09:00-09:59,489,498,501,480,488,314,185
10:00-10:59,576,568,579,594,599,325,221
11:00-11:59,502,556,510,567,525,377,238
12:00-12:59,548,568,539,540,554,401,274
13:00-13:59,568,648,547,544,614,422,271
14:00-14:59,562,560,510,581,598,400,279
15:00-15:59,631,574,641,660,579,384,263
16:00-16:59,639,601,588,625,555,348,289
17:00-17:59,527,484,471,532,514,397,343
18:00-18:59,423,437,406,410,478,375,342
19:00-19:59,371,350,378,330,390,363,279
20:00-20:59,316,341,321,368,383,346,316
21:00-21:59,276,273,323,316,416,363,222
22:00-22:59,232,233,277,282,352,390,246
23:00-23:59,172,213,226,200,294,351,173
